memory, inkling	abhav                 अभाव                                                          n.                       non-existence, absence,
oviparous	dyotak                द्योतक                    adj.      making clear, showing,
indicating	e                     ए                         int.      hey! listen!
indicating	eghara                एघार                      num.      eleven, 11
indicating	egharaun              एघारौं                    adj.      eleventh
indicating	ejan                  एजन                                 ditto, loc cit.
indicating	ek                    एक                        num.      one,   1
indicating	ek baji               एक       बाजि             adv.      once
indicating	ek chin               एक छिन                    adv.      for a moment, for a short
time	ek coti               एक       चोटि             adv.      once
time	ek khep               एक खेप                    adv.      once
time	ek na ek              एक       न एक                       one or other
